Month,Statistic Label,VALUE
1963-01-01 00:05:00,Lowest Temperature,2.269230769230769
1963-01-01 00:05:00,Mean Temperature,9.838461538461539
1963-01-01 00:06:00,Average Maximum Temperature,17.353846153846153
1963-01-01 00:06:00,Average Minimum Temperature,9.961538461538462
1963-01-01 00:06:00,Highest Temperature,23.384615384615383
1963-01-01 00:06:00,Lowest Temperature,6.56923076923077
1963-01-01 00:06:00,Mean Temperature,13.676923076923078
1963-01-01 00:07:00,Average Maximum Temperature,17.484615384615385
1963-01-01 00:07:00,Average Minimum Temperature,10.53076923076923
1963-01-01 00:07:00,Highest Temperature,22.615384615384617
1963-01-01 00:07:00,Lowest Temperature,5.684615384615385
1963-01-01 00:07:00,Mean Temperature,14.03076923076923
1963-01-01 00:08:00,Average Maximum Temperature,16.73076923076923
1963-01-01 00:08:00,Average Minimum Temperature,10.592307692307692
1963-01-01 00:08:00,Highest Temperature,21.00769230769231
1963-01-01 00:08:00,Lowest Temperature,5.93076923076923
1963-01-01 00:08:00,Mean Temperature,13.692307692307692
1963-01-01 00:09:00,Average Maximum Temperature,15.669230769230769
1963-01-01 00:09:00,Average Minimum Temperature,8.8
1963-01-01 00:09:00,Highest Temperature,20.084615384615386
1963-01-01 00:09:00,Lowest Temperature,3.723076923076923
1963-01-01 00:09:00,Mean Temperature,12.26923076923077
1963-01-01 00:10:00,Average Maximum Temperature,14.076923076923077
1963-01-01 00:10:00,Average Minimum Temperature,8.330769230769231
1963-01-01 00:10:00,Highest Temperature,16.93076923076923
1963-01-01 00:10:00,Lowest Temperature,3.0999999999999996
1963-01-01 00:10:00,Mean Temperature,11.238461538461538
1963-01-01 00:11:00,Average Maximum Temperature,10.646153846153847
1963-01-01 00:11:00,Average Minimum Temperature,4.6692307692307695
1963-01-01 00:11:00,Highest Temperature,13.53076923076923
1963-01-01 00:11:00,Lowest Temperature,-1.5153846153846153
1963-01-01 00:11:00,Mean Temperature,7.676923076923076
1963-01-01 00:12:00,Average Maximum Temperature,7.1923076923076925
1963-01-01 00:12:00,Average Minimum Temperature,2.3615384615384616
1963-01-01 00:12:00,Highest Temperature,11.330769230769231
1963-01-01 00:12:00,Lowest Temperature,-4.984615384615385
1963-01-01 00:12:00,Mean Temperature,4.8076923076923075
1964-01-01 00:01:00,Average Maximum Temperature,8.442857142857143
1964-01-01 00:01:00,Average Minimum Temperature,3.8000000000000003
1964-01-01 00:01:00,Highest Temperature,11.892857142857142
1964-01-01 00:01:00,Lowest Temperature,-2.3214285714285716
1964-01-01 00:01:00,Mean Temperature,6.142857142857143
1964-01-01 00:02:00,Average Maximum Temperature,8.192857142857143
1964-01-01 00:02:00,Average Minimum Temperature,3.2214285714285715
1964-01-01 00:02:00,Highest Temperature,13.021428571428572
1964-01-01 00:02:00,Lowest Temperature,-3.3000000000000003
1964-01-01 00:02:00,Mean Temperature,5.728571428571429
1964-01-01 00:03:00,Average Maximum Temperature,9.064285714285715
1964-01-01 00:03:00,Average Minimum Temperature,3.357142857142857
1964-01-01 00:03:00,Highest Temperature,12.921428571428573
1964-01-01 00:03:00,Lowest Temperature,-1.75
1964-01-01 00:03:00,Mean Temperature,6.235714285714286
1964-01-01 00:04:00,Average Maximum Temperature,11.885714285714286
1964-01-01 00:04:00,Average Minimum Temperature,5.057142857142857
1964-01-01 00:04:00,Highest Temperature,15.485714285714286
1964-01-01 00:04:00,Lowest Temperature,-0.45000000000000007
1964-01-01 00:04:00,Mean Temperature,8.492857142857144
1964-01-01 00:05:00,Average Maximum Temperature,15.485714285714284
1964-01-01 00:05:00,Average Minimum Temperature,8.185714285714285
1964-01-01 00:05:00,Highest Temperature,21.099999999999998
1964-01-01 00:05:00,Lowest Temperature,4.121428571428572
1964-01-01 00:05:00,Mean Temperature,11.857142857142858
1964-01-01 00:06:00,Average Maximum Temperature,16.1
1964-01-01 00:06:00,Average Minimum Temperature,9.528571428571428
1964-01-01 00:06:00,Highest Temperature,20.707142857142856
1964-01-01 00:06:00,Lowest Temperature,4.2785714285714285
1964-01-01 00:06:00,Mean Temperature,12.828571428571427
1964-01-01 00:07:00,Average Maximum Temperature,17.935714285714287
1964-01-01 00:07:00,Average Minimum Temperature,11.450000000000001
1964-01-01 00:07:00,Highest Temperature,21.5
1964-01-01 00:07:00,Lowest Temperature,5.835714285714286
1964-01-01 00:07:00,Mean Temperature,14.714285714285714
1964-01-01 00:08:00,Average Maximum Temperature,17.985714285714288
1964-01-01 00:08:00,Average Minimum Temperature,10.685714285714285
1964-01-01 00:08:00,Highest Temperature,22.535714285714285
1964-01-01 00:08:00,Lowest Temperature,3.5571428571428574
1964-01-01 00:08:00,Mean Temperature,14.37142857142857
1964-01-01 00:09:00,Average Maximum Temperature,17.114285714285714
1964-01-01 00:09:00,Average Minimum Temperature,10.049999999999999
1964-01-01 00:09:00,Highest Temperature,20.964285714285715
1964-01-01 00:09:00,Lowest Temperature,4.135714285714285
1964-01-01 00:09:00,Mean Temperature,13.614285714285714
